"","date","value"
"1",2018-12-22,23.6
"2",2018-12-23,58.9
"3",2018-12-24,16.8
"4",2018-12-25,28
"5",2018-12-26,191.4
"6",2018-12-27,75.7
"7",2018-12-28,91.3
"8",2018-12-29,233.9
"9",2018-12-30,92.3
"10",2018-12-31,100.6
"11",2019-01-01,70.8
"12",2019-01-02,32.8
"13",2019-01-03,22.8
"14",2019-01-04,40.1
"15",2019-01-05,16.6
"16",2019-01-06,23.6
"17",2019-01-07,135.9
"18",2019-01-08,29.6
"19",2019-01-09,29.3
"20",2019-01-10,28.8
"21",2019-01-11,219.6
"22",2019-01-12,78.1
"23",2019-01-13,32.6
"24",2019-01-14,23.4
"25",2019-01-15,37.9
"26",2019-01-16,24.8
"27",2019-01-17,32.6
"28",2019-01-18,110.1
"29",2019-01-19,21.8
"30",2019-01-20,65.6
"31",2019-01-21,72
"32",2019-01-22,47.9
